category,file,source_page,author,license
crossing_gate,crossing_gate_35th-road-rr-xing-at-new-york-connecting-railroad-in-queens.jpg,https://commons.wikimedia.org/wiki/File:35th_Road_RR_Xing_at_New_York_Connecting_Railroad_in_Queens.jpg,DanTD,CC BY-SA 4.0
crossing_gate,crossing_gate_ash-station-and-level-crossing-barrier-geograph-org-uk-28576.jpg,https://commons.wikimedia.org/wiki/File:Ash_Station_and_level_crossing_barrier_-_geograph.org.uk_-_2857636.jpg,N Chadwick,CC BY-SA 2.0
crossing_gate,crossing_gate_barrier-closing-on-railway-level-crossing-geograph-org-uk-57.jpg,https://commons.wikimedia.org/wiki/File:Barrier_closing_on_railway_level_crossing_-_geograph.org.uk_-_5757117.jpg,Martin Dawes,CC BY-SA 2.0
crossing_gate,crossing_gate_barrier-rising-at-truro-level-crossing-geograph-org-uk-47268.jpg,https://commons.wikimedia.org/wiki/File:Barrier_rising_at_Truro_Level_Crossing_-_geograph.org.uk_-_4726871.jpg,Jaggery,CC BY-SA 2.0
crossing_gate,crossing_gate_barriers-down-across-ferryside-railway-station-level-crossin.jpg,https://commons.wikimedia.org/wiki/File:Barriers_down_across_Ferryside_railway_station_level_crossing_-_geograph.org.uk_-_4583354.jpg,Jaggery,CC BY-SA 2.0
crossing_gate,crossing_gate_brompton-automatic-half-barrier-level-crossing-geograph-org-.jpg,https://commons.wikimedia.org/wiki/File:Brompton_Automatic_Half_Barrier_Level_Crossing_-_geograph.org.uk_-_294450.jpg,Nick W,CC BY-SA 2.0
crossing_gate,crossing_gate_crossing-in-action-8514491684.jpg,https://commons.wikimedia.org/wiki/File:Crossing_in_action_(8514491684).jpg,"Loozrboy from Toronto, Canada",CC BY-SA 2.0
crossing_gate,crossing_gate_delaware-lackawana-western-railroad-crossing.jpg,https://commons.wikimedia.org/wiki/File:Delaware_lackawana_western_railroad_crossing.jpg,Unknown author Unknown author,Public domain
crossing_gate,crossing_gate_file-a0373-a0377-unknown-location-railroad-crossing-1906-04-.jpg,https://commons.wikimedia.org/wiki/File:File-A0373-A0377--Unknown_location--Railroad_Crossing_-1906.04.26-_(50bee854-d9fe-421f-90a5-910ee13a10fe).jpg,"Bunnell, Watson B. ( Delaware, Lackawanna & Western Railroad )",Public domain
crossing_gate,crossing_gate_general-view-of-crossing-gate-tower-taken-in-1916-courtesy-o.jpg,"https://commons.wikimedia.org/wiki/File:General_view_of_crossing_gate_tower,_taken_in_1916_(courtesy_of_Erie_Railroad_Company)_(photocopy)_-_Erie_Railway,_Crossing_Gate_Tower,_West_side_of_Lincoln_Street,_100_feet_South_HAER_PA,25-UNCI,5A-1.tif",,Public domain
crossing_gate,crossing_gate_hale-level-crossing-geograph-org-uk-5639105.jpg,https://commons.wikimedia.org/wiki/File:Hale_Level_Crossing_-_geograph.org.uk_-_5639105.jpg,Gerald England,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-a142-geograph-org-uk-5593157.jpg,"https://commons.wikimedia.org/wiki/File:Level_crossing,_A142_-_geograph.org.uk_-_5593157.jpg",N Chadwick,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-a142-geograph-org-uk-5867861.jpg,"https://commons.wikimedia.org/wiki/File:Level_crossing,_A142_-_geograph.org.uk_-_5867861.jpg",N Chadwick,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-alsager-geograph-org-uk-4992563.jpg,"https://commons.wikimedia.org/wiki/File:Level_crossing,_Alsager_-_geograph.org.uk_-_4992563.jpg",JThomas,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-and-barrier-on-the-weardale-railway-near-fros.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_and_barrier_on_the_Weardale_Railway_near_Frosterley_-_geograph.org.uk_-_1423837.jpg,Les Hull,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-alsager-station-geograph-org-uk-5306447.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Alsager_Station_-_geograph.org.uk_-_5306447.jpg,David Lally,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-ballasalla-geograph-org-uk-4714770.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Ballasalla_-_geograph.org.uk_-_4714770.jpg,Richard Hoare,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-beltring-geograph-org-uk-4750078.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Beltring_-_geograph.org.uk_-_4750078.jpg,Malc McDonald,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-castle-caereinion-geograph-org-uk-7273583.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Castle_Caereinion_-_geograph.org.uk_-_7273583.jpg,Gareth James,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-lydney-main-railway-station-geograph-org-u.jpg,https://commons.wikimedia.org/wiki/File:Level_Crossing_at_Lydney_(main)_railway_station_-_geograph.org.uk_-_6214862.jpg,Roger Cornfoot,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-oakham-station-geograph-org-uk-2604319.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Oakham_Station_-_geograph.org.uk_-_2604319.jpg,Andrew Tatlow,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-pevensey-bay-station-geograph-org-uk-49874.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Pevensey_Bay_station_-_geograph.org.uk_-_4987407.jpg,Marathon,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-roydon-railway-station-geograph-org-uk-522.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Roydon_railway_station_-_geograph.org.uk_-_5221621.jpg,Peter S,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-southease-railway-station-geograph-org-uk-.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_Southease_railway_station_-_geograph.org.uk_-_2849941.jpg,Stacey Harris,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-at-the-eastern-end-of-llanelli-railway-statio.jpg,https://commons.wikimedia.org/wiki/File:Level_crossing_at_the_eastern_end_of_Llanelli_railway_station_-_geograph.org.uk_-_2892871.jpg,Jaggery,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-barrier-at-markle-geograph-org-uk-5666839.jpg,https://commons.wikimedia.org/wiki/File:Level_Crossing_barrier_at_Markle_-_geograph.org.uk_-_5666839.jpg,M J Richardson,CC BY-SA 2.0
crossing_gate,crossing_gate_level-crossing-barrier-gr-f-sz-chenyi-istv-n-road-2020-alber.jpg,"https://commons.wikimedia.org/wiki/File:Level_crossing_barrier,_Gr%C3%B3f_Sz%C3%A9chenyi_Istv%C3%A1n_Road,_2020_Albertirsa.jpg",Globetrotter19,CC BY-SA 3.0
crossing_gate,crossing_gate_level-crossing-barrier-klotildliget-train-stop-2020-piliscsa.jpg,"https://commons.wikimedia.org/wiki/File:Level_crossing_barrier,_Klotildliget_train_stop,_2020_Piliscsaba.jpg",Globetrotter19,CC BY-SA 3.0
