file,total_lines,code_lines,comment_lines,functions,classes,documented
api.py,250,177,5,10,0,7
app.py,437,295,22,16,0,4
labeller.py,63,48,3,2,0,0
model/augment.py,191,125,3,10,0,4
model/backends.py,352,230,6,23,5,11
model/collect_images.py,461,313,41,13,0,9
model/collect_wire.py,638,366,84,17,0,14
model/dataset.py,166,113,8,7,0,6
model/export.py,328,221,9,12,1,8
model/network.py,280,188,21,13,0,10
model/predict.py,409,276,14,18,2,13
model/train.py,275,200,9,3,0,2
result.py,56,44,6,5,1,0
statistics/bench.py,1122,798,70,18,0,15
statistics/charts.py,237,184,1,10,0,0
statistics/common.py,49,36,1,5,0,1
statistics/make_assets.py,281,235,3,5,0,1
statistics/report.py,652,554,2,17,0,0
statistics/style.py,368,327,6,0,0,0
store.py,513,392,14,17,1,15
sync.py,257,178,9,11,2,7
test/test_api.py,390,273,8,28,5,3
test/test_backends.py,218,152,0,24,4,1
test/test_network.py,204,135,3,18,4,0
test/test_predict.py,168,111,6,21,4,0
test/test_result.py,103,70,2,11,2,0
test/test_store.py,319,208,4,32,6,1
test/test_sync.py,221,151,6,25,5,1
