epoch,phase,train_loss,train_acc,val_loss,val_acc,train_val_gap
1,head_only,1.6348,0.3735,1.6539,0.3043,0.0692
2,head_only,1.2775,0.5786,1.4819,0.5,0.0786
3,head_only,1.1539,0.649,1.2456,0.587,0.062
4,head_only,1.1141,0.6704,1.2219,0.6087,0.0617
5,head_only,1.0953,0.6847,1.2245,0.6087,0.076
6,head_only,1.0449,0.7214,1.2622,0.6304,0.091
7,head_only,1.0423,0.7173,1.1485,0.6413,0.076
8,head_only,1.0188,0.7306,1.1626,0.6304,0.1002
9,head_only,1.0036,0.7367,1.1306,0.6413,0.0954
10,head_only,0.9922,0.7347,1.1152,0.6522,0.0825
11,head_only,0.9833,0.7255,1.1191,0.663,0.0625
12,head_only,0.9702,0.752,1.1354,0.6304,0.1216
13,head_only,0.9937,0.7276,1.1455,0.6739,0.0537
14,head_only,0.9739,0.7408,1.1361,0.663,0.0778
15,head_only,0.9729,0.7469,1.1354,0.6522,0.0947
16,fine_tuning,0.9275,0.7673,1.1206,0.6957,0.0716
17,fine_tuning,0.6941,0.9092,1.0617,0.7717,0.1375
18,fine_tuning,0.6244,0.9418,1.099,0.75,0.1918
19,fine_tuning,0.5786,0.9612,1.0228,0.7391,0.2221
20,fine_tuning,0.5654,0.9724,1.0325,0.7391,0.2333
21,fine_tuning,0.5551,0.9735,1.0168,0.7391,0.2344
22,fine_tuning,0.5437,0.9816,1.0176,0.7717,0.2099
23,fine_tuning,0.5356,0.9776,1.0076,0.7826,0.195
24,fine_tuning,0.5252,0.9878,1.019,0.7609,0.2269
25,fine_tuning,0.5203,0.9888,1.0289,0.7609,0.2279
